feature,coefficient,model,experiment,importance
syn_ratio,5.083634401513236,lr,exp5,
svc_dynamic,3.2584139437339186,lr,exp5,
svc_smtp,-3.027326847990085,lr,exp5,
svc_http,-2.8813556406834917,lr,exp5,
rst_ratio,2.5542089168701048,lr,exp5,
protocol_icmp,2.4309379652562164,lr,exp5,
protocol_udp,-1.968728258871609,lr,exp5,
svc_https,1.6220929762218508,lr,exp5,
svc_dns,-1.5901949143883385,lr,exp5,
svc_ssh,1.1674059611882008,lr,exp5,
data_pkt_ratio,-1.1495310918678805,lr,exp5,
svc_user,0.8056589033936674,lr,exp5,
svc_telnet,-0.7536051550308679,lr,exp5,
svc_system,0.7227674763564507,lr,exp5,
protocol_tcp,-0.6475136075107076,lr,exp5,
svc_ftp,0.4908393960725358,lr,exp5,
duration,-0.3219809972375599,lr,exp5,
byte_ratio,-0.2126381549981205,lr,exp5,
fin_ratio,0.0924031621198106,lr,exp5,
bytes_per_sec,0.0123446665765611,lr,exp5,
svc_mysql,0.0,lr,exp5,
svc_rdp,0.0,lr,exp5,
svc_unknown,0.0,lr,exp5,
bytes_per_sec,,rf,exp4,0.2870379836939897
byte_ratio,,rf,exp4,0.2022387964433984
fin_ratio,,rf,exp4,0.1277193037439016
data_pkt_ratio,,rf,exp4,0.1214691919407603
syn_ratio,,rf,exp4,0.1011328151621613
protocol_icmp,,rf,exp4,0.0805968840449318
protocol_tcp,,rf,exp4,0.0258461352532731
rst_ratio,,rf,exp4,0.0240098165077385
duration,,rf,exp4,0.0202488403617233
protocol_udp,,rf,exp4,0.0097002328481215
syn_ratio,1.6940422751088666,svm,exp3,
rst_ratio,1.366147098678007,svm,exp3,
protocol_icmp,0.8405279945852344,svm,exp3,
protocol_tcp,-0.6530933742048044,svm,exp3,
protocol_udp,-0.4181781618621542,svm,exp3,
bytes_per_sec,-0.1630144923393795,svm,exp3,
fin_ratio,0.0679298763049744,svm,exp3,
byte_ratio,0.0648604237471107,svm,exp3,
duration,-0.0458805241922774,svm,exp3,
syn_ratio,1.3740944768256915,svm,exp5,
svc_dynamic,0.8751367582278153,svm,exp5,
protocol_icmp,0.81363900764887,svm,exp5,
svc_http,-0.788105934406666,svm,exp5,
rst_ratio,0.7600611947298218,svm,exp5,
svc_smtp,-0.7075731505819367,svm,exp5,
protocol_udp,-0.6612252721248727,svm,exp5,
svc_https,0.4642960875800282,svm,exp5,
svc_ssh,0.4212082584968618,svm,exp5,
data_pkt_ratio,-0.3053633689363799,svm,exp5,
svc_telnet,-0.2537261662161517,svm,exp5,
svc_user,0.2355674173218651,svm,exp5,
svc_dns,-0.2051971580742316,svm,exp5,
svc_ftp,-0.185935689733129,svm,exp5,
svc_system,0.1542841079684,svm,exp5,
protocol_tcp,-0.1424592049656179,svm,exp5,
bytes_per_sec,0.1092935088157338,svm,exp5,
byte_ratio,-0.0818609236573721,svm,exp5,
duration,-0.0780980236565139,svm,exp5,
fin_ratio,0.0526237840978499,svm,exp5,
svc_mysql,0.0,svm,exp5,
svc_rdp,0.0,svm,exp5,
svc_unknown,0.0,svm,exp5,
bytes_per_sec,,rf,exp2,0.4179646608447875
byte_ratio,,rf,exp2,0.3074717805973891
syn_ratio,,rf,exp2,0.1135649252480928
protocol_icmp,,rf,exp2,0.0528207753102875
rst_ratio,,rf,exp2,0.0375315292971461
protocol_tcp,,rf,exp2,0.0336661583876406
duration,,rf,exp2,0.0226466143460689
protocol_udp,,rf,exp2,0.0143335559685872
data_pkt_ratio,-4.14827045306727,lr,exp4,
protocol_icmp,3.2418016547581363,lr,exp4,
bytes_per_sec,-0.9322026325312568,lr,exp4,
protocol_tcp,-0.8486106953113446,lr,exp4,
byte_ratio,0.3792865047149358,lr,exp4,
protocol_udp,0.201733100502337,lr,exp4,
duration,0.0315800435749217,lr,exp4,
bytes_per_sec,,rf,exp0,0.2921331198924103
src_bytes,,rf,exp0,0.2294882631229305
dst_bytes,,rf,exp0,0.212822019339588
byte_ratio,,rf,exp0,0.1847896490956262
protocol_icmp,,rf,exp0,0.04413139266645
protocol_tcp,,rf,exp0,0.019335675483654
protocol_udp,,rf,exp0,0.0103461275375877
duration,,rf,exp0,0.0069537528617528
protocol_icmp,0.7412330750686232,svm,exp0,
byte_ratio,-0.4296226192474866,svm,exp0,
protocol_udp,-0.3260005391226555,svm,exp0,
bytes_per_sec,-0.3117092729934951,svm,exp0,
dst_bytes,-0.271618914066228,svm,exp0,
src_bytes,0.1169759960710106,svm,exp0,
protocol_tcp,-0.0683060126276229,svm,exp0,
duration,-0.0528025209126773,svm,exp0,
syn_ratio,1.6319733454547645,svm,exp2,
rst_ratio,1.3033884004031908,svm,exp2,
protocol_icmp,0.857139279406892,svm,exp2,
protocol_tcp,-0.63712788568238,svm,exp2,
protocol_udp,-0.4011919512858469,svm,exp2,
bytes_per_sec,-0.1600446010671858,svm,exp2,
byte_ratio,0.0647906970016691,svm,exp2,
duration,-0.045167865130342,svm,exp2,
protocol_icmp,0.774094989338718,svm,exp1,
syn_ratio,0.4962696848859477,svm,exp1,
protocol_udp,-0.3433094778937311,svm,exp1,
bytes_per_sec,-0.2059488019117003,svm,exp1,
byte_ratio,-0.1626254021620514,svm,exp1,
dst_bytes,-0.1522553845197665,svm,exp1,
protocol_tcp,-0.1230186438539317,svm,exp1,
duration,-0.0065664844965396,svm,exp1,
syn_ratio,6.174415162075825,lr,exp2,
rst_ratio,3.587257067248037,lr,exp2,
protocol_tcp,-2.2581315130794484,lr,exp2,
protocol_icmp,2.209965909178482,lr,exp2,
bytes_per_sec,-0.9318722284874292,lr,exp2,
protocol_udp,-0.5877513604028719,lr,exp2,
byte_ratio,0.4375281431828267,lr,exp2,
duration,-0.1799211616250957,lr,exp2,
syn_ratio,3.394541863715829,lr,exp1,
dst_bytes,-1.825526796095053,lr,exp1,
protocol_icmp,1.5905991027932005,lr,exp1,
protocol_udp,-1.0035150217564526,lr,exp1,
protocol_tcp,-0.9638606862189684,lr,exp1,
bytes_per_sec,-0.7427090303397832,lr,exp1,
byte_ratio,-0.3354989905162309,lr,exp1,
duration,0.0109472002281872,lr,exp1,
bytes_per_sec,,rf,exp5,0.2625089955680337
byte_ratio,,rf,exp5,0.1919885678377756
fin_ratio,,rf,exp5,0.1181211974156773
data_pkt_ratio,,rf,exp5,0.0869268600521441
svc_http,,rf,exp5,0.0812293015066504
syn_ratio,,rf,exp5,0.0555222140398809
svc_system,,rf,exp5,0.0476623312536377
protocol_icmp,,rf,exp5,0.0386444558901135
svc_dynamic,,rf,exp5,0.0292559036962199
protocol_tcp,,rf,exp5,0.0231346559614907
rst_ratio,,rf,exp5,0.0216584030842476
duration,,rf,exp5,0.0153020713157773
protocol_udp,,rf,exp5,0.0080119747903358
svc_dns,,rf,exp5,0.0059999146748641
svc_smtp,,rf,exp5,0.0059921654851407
svc_ftp,,rf,exp5,0.0044671352839523
svc_user,,rf,exp5,0.0027579331168027
svc_telnet,,rf,exp5,0.0004939298783946
svc_https,,rf,exp5,0.0002134430972594
svc_ssh,,rf,exp5,0.0001085460516008
svc_mysql,,rf,exp5,0.0
svc_rdp,,rf,exp5,0.0
svc_unknown,,rf,exp5,0.0
syn_ratio,1.6546727996237924,svm,exp4,
rst_ratio,1.3302414546424588,svm,exp4,
protocol_icmp,0.8705161293743503,svm,exp4,
protocol_tcp,-0.6331145767596112,svm,exp4,
protocol_udp,-0.3934130795657541,svm,exp4,
data_pkt_ratio,-0.2073491756019449,svm,exp4,
fin_ratio,0.1466064950979192,svm,exp4,
bytes_per_sec,-0.1187745526819654,svm,exp4,
byte_ratio,0.0645930272406798,svm,exp4,
duration,-0.0229683534390644,svm,exp4,
bytes_per_sec,,rf,exp1,0.3252461023337866
dst_bytes,,rf,exp1,0.2553164547200041
byte_ratio,,rf,exp1,0.2415244023339508
syn_ratio,,rf,exp1,0.0884024247207246
protocol_icmp,,rf,exp1,0.038655746517948
protocol_tcp,,rf,exp1,0.0246873476408944
duration,,rf,exp1,0.0143525230701884
protocol_udp,,rf,exp1,0.0118149986625027
bytes_per_sec,,rf,exp3,0.3987794579955857
byte_ratio,,rf,exp3,0.2746657510164554
fin_ratio,,rf,exp3,0.1185419471543672
protocol_icmp,,rf,exp3,0.0669932022820374
syn_ratio,,rf,exp3,0.0506347809291674
rst_ratio,,rf,exp3,0.0309969945789884
protocol_tcp,,rf,exp3,0.0284533499661671
duration,,rf,exp3,0.0186615590765315
protocol_udp,,rf,exp3,0.0122729570006996
dst_bytes,-5.97773727239682,lr,exp0,
src_bytes,3.833760521187346,lr,exp0,
byte_ratio,-3.0967868274014028,lr,exp0,
protocol_icmp,1.5099248481536836,lr,exp0,
protocol_udp,-1.0971783463753864,lr,exp0,
bytes_per_sec,-1.0175490600960042,lr,exp0,
protocol_tcp,-0.7800842764682062,lr,exp0,
duration,-0.15928655712409,lr,exp0,
syn_ratio,6.642254998898372,lr,exp3,
rst_ratio,4.058503404411121,lr,exp3,
protocol_tcp,-2.389452893048734,lr,exp3,
protocol_icmp,2.071371185974937,lr,exp3,
bytes_per_sec,-0.9563131758012428,lr,exp3,
protocol_udp,-0.7330765857438416,lr,exp3,
fin_ratio,0.5180855824258872,lr,exp3,
byte_ratio,0.437557998820414,lr,exp3,
duration,-0.1841668906948126,lr,exp3,
